120: 21.220795, 58.215054 avg, 0.000000 rate, 7.192117 seconds, 7680 images
121: 27.570742, 55.150623 avg, 0.000000 rate, 7.288238 seconds, 7744 images
122: 24.475075, 52.083069 avg, 0.000000 rate, 7.124585 seconds, 7808 images
123: 23.930525, 49.267815 avg, 0.000000 rate, 7.245890 seconds, 7872 images
124: 21.946865, 46.535721 avg, 0.000000 rate, 7.203239 seconds, 7936 images
125: 23.327492, 44.214897 avg, 0.000000 rate, 7.075777 seconds, 8000 images
126: 20.669724, 41.860378 avg, 0.000000 rate, 7.038558 seconds, 8064 images
127: 21.069340, 39.781273 avg, 0.000000 rate, 7.107378 seconds, 8128 images
128: 19.728065, 37.775951 avg, 0.000000 rate, 7.186797 seconds, 8192 images
129: 18.633093, 35.861664 avg, 0.000000 rate, 7.146025 seconds, 8256 images
130: 22.848394, 34.560337 avg, 0.000000 rate, 7.183562 seconds, 8320 images
131: 17.115004, 32.815804 avg, 0.000000 rate, 7.193600 seconds, 8384 images
132: 17.393679, 31.273590 avg, 0.000000 rate, 7.061182 seconds, 8448 images
133: 12.967884, 29.443020 avg, 0.000000 rate, 7.028292 seconds, 8512 images
134: 16.870300, 28.185747 avg, 0.000000 rate, 7.136413 seconds, 8576 images
135: 14.488836, 26.816055 avg, 0.000000 rate, 7.221227 seconds, 8640 images
136: 15.396908, 25.674141 avg, 0.000000 rate, 7.283947 seconds, 8704 images
137: 15.827217, 24.689449 avg, 0.000000 rate, 7.331157 seconds, 8768 images
138: 15.123887, 23.732893 avg, 0.000000 rate, 7.298062 seconds, 8832 images
139: 14.320252, 22.791630 avg, 0.000000 rate, 7.256296 seconds, 8896 images
140: 14.690866, 21.981554 avg, 0.000000 rate, 7.087470 seconds, 8960 images
141: 14.241920, 21.207590 avg, 0.000000 rate, 7.223886 seconds, 9024 images
142: 13.922075, 20.479038 avg, 0.000000 rate, 7.084064 seconds, 9088 images
143: 13.395139, 19.770649 avg, 0.000000 rate, 7.415605 seconds, 9152 images
144: 10.846933, 18.878277 avg, 0.000000 rate, 7.122148 seconds, 9216 images
145: 11.823751, 18.172825 avg, 0.000000 rate, 7.304424 seconds, 9280 images
146: 9.203353, 17.275877 avg, 0.000000 rate, 7.280121 seconds, 9344 images
147: 12.411033, 16.789392 avg, 0.000000 rate, 7.228542 seconds, 9408 images
148: 12.637864, 16.374239 avg, 0.000000 rate, 7.187523 seconds, 9472 images
149: 10.385986, 15.775414 avg, 0.000000 rate, 7.171137 seconds, 9536 images
150: 10.908228, 15.288695 avg, 0.000001 rate, 7.284907 seconds, 9600 images
151: 10.332098, 14.793036 avg, 0.000001 rate, 7.145007 seconds, 9664 images
152: 9.083920, 14.222124 avg, 0.000001 rate, 7.106450 seconds, 9728 images
153: 11.146913, 13.914603 avg, 0.000001 rate, 7.094185 seconds, 9792 images
154: 8.983588, 13.421502 avg, 0.000001 rate, 7.188998 seconds, 9856 images
155: 11.068087, 13.186161 avg, 0.000001 rate, 7.274212 seconds, 9920 images
156: 8.678938, 12.735438 avg, 0.000001 rate, 7.306100 seconds, 9984 images
157: 9.488076, 12.410702 avg, 0.000001 rate, 7.235597 seconds, 10048 images
158: 9.149274, 12.084558 avg, 0.000001 rate, 7.210331 seconds, 10112 images
159: 11.112314, 11.987334 avg, 0.000001 rate, 7.204194 seconds, 10176 images
160: 9.175920, 11.706193 avg, 0.000001 rate, 7.291859 seconds, 10240 images
161: 10.216443, 11.557218 avg, 0.000001 rate, 7.131160 seconds, 10304 images
162: 9.871613, 11.388657 avg, 0.000001 rate, 7.246575 seconds, 10368 images
163: 11.468499, 11.396641 avg, 0.000001 rate, 7.321578 seconds, 10432 images
164: 9.138233, 11.170800 avg, 0.000001 rate, 7.187722 seconds, 10496 images
165: 10.919720, 11.145692 avg, 0.000001 rate, 7.276074 seconds, 10560 images
166: 12.351725, 11.266295 avg, 0.000001 rate, 7.266310 seconds, 10624 images
167: 9.061487, 11.045815 avg, 0.000001 rate, 7.213813 seconds, 10688 images
168: 11.076924, 11.048925 avg, 0.000001 rate, 7.150235 seconds, 10752 images
169: 8.878371, 10.831870 avg, 0.000001 rate, 7.207066 seconds, 10816 images
170: 7.872112, 10.535894 avg, 0.000001 rate, 7.150698 seconds, 10880 images
171: 11.606866, 10.642992 avg, 0.000001 rate, 7.325376 seconds, 10944 images
172: 8.460895, 10.424782 avg, 0.000001 rate, 7.085530 seconds, 11008 images
173: 9.014963, 10.283800 avg, 0.000001 rate, 7.059847 seconds, 11072 images
174: 8.447626, 10.100183 avg, 0.000001 rate, 7.196287 seconds, 11136 images
175: 9.287542, 10.018919 avg, 0.000001 rate, 7.092105 seconds, 11200 images
176: 8.318284, 9.848856 avg, 0.000001 rate, 7.232879 seconds, 11264 images
177: 10.480216, 9.911992 avg, 0.000001 rate, 7.255620 seconds, 11328 images
178: 9.036884, 9.824481 avg, 0.000001 rate, 7.263483 seconds, 11392 images
179: 9.110339, 9.753067 avg, 0.000001 rate, 7.178457 seconds, 11456 images
180: 8.071769, 9.584937 avg, 0.000001 rate, 7.191660 seconds, 11520 images
181: 9.409867, 9.567430 avg, 0.000001 rate, 7.213839 seconds, 11584 images
182: 8.052607, 9.415948 avg, 0.000001 rate, 7.147194 seconds, 11648 images
183: 7.549236, 9.229277 avg, 0.000001 rate, 7.045858 seconds, 11712 images
184: 7.381120, 9.044461 avg, 0.000001 rate, 7.211887 seconds, 11776 images
185: 8.577354, 8.997750 avg, 0.000001 rate, 7.256089 seconds, 11840 images
186: 8.061486, 8.904124 avg, 0.000001 rate, 7.172808 seconds, 11904 images
187: 6.620149, 8.675727 avg, 0.000001 rate, 7.109678 seconds, 11968 images
188: 10.080976, 8.816252 avg, 0.000001 rate, 7.098036 seconds, 12032 images
189: 7.370216, 8.671648 avg, 0.000001 rate, 7.069355 seconds, 12096 images
190: 8.280764, 8.632560 avg, 0.000001 rate, 7.174273 seconds, 12160 images
191: 8.029548, 8.572259 avg, 0.000001 rate, 7.291690 seconds, 12224 images
192: 7.574611, 8.472494 avg, 0.000001 rate, 7.134811 seconds, 12288 images
193: 8.061150, 8.431359 avg, 0.000001 rate, 7.071971 seconds, 12352 images
194: 7.941099, 8.382333 avg, 0.000001 rate, 7.069626 seconds, 12416 images
195: 7.875212, 8.331621 avg, 0.000001 rate, 7.260254 seconds, 12480 images
196: 7.568216, 8.255280 avg, 0.000001 rate, 7.216545 seconds, 12544 images
197: 7.352605, 8.165013 avg, 0.000002 rate, 7.161758 seconds, 12608 images
198: 8.031389, 8.151651 avg, 0.000002 rate, 7.277692 seconds, 12672 images
199: 6.655623, 8.002048 avg, 0.000002 rate, 7.412558 seconds, 12736 images
200: 5.674476, 7.769291 avg, 0.000002 rate, 7.379776 seconds, 12800 images
201: 7.297218, 7.722084 avg, 0.000002 rate, 7.111914 seconds, 12864 images
202: 8.253996, 7.775275 avg, 0.000002 rate, 7.070365 seconds, 12928 images
203: 7.597516, 7.757499 avg, 0.000002 rate, 7.023566 seconds, 12992 images
204: 5.556363, 7.537385 avg, 0.000002 rate, 7.009180 seconds, 13056 images
205: 7.056475, 7.489295 avg, 0.000002 rate, 7.028071 seconds, 13120 images
206: 6.330332, 7.373398 avg, 0.000002 rate, 7.108834 seconds, 13184 images
207: 6.867954, 7.322854 avg, 0.000002 rate, 7.215164 seconds, 13248 images
208: 6.162611, 7.206830 avg, 0.000002 rate, 7.355164 seconds, 13312 images
209: 7.216662, 7.207813 avg, 0.000002 rate, 7.568735 seconds, 13376 images
210: 7.412160, 7.228248 avg, 0.000002 rate, 7.540589 seconds, 13440 images
211: 6.413417, 7.146765 avg, 0.000002 rate, 7.487102 seconds, 13504 images
212: 6.635922, 7.095681 avg, 0.000002 rate, 7.531065 seconds, 13568 images
213: 6.886399, 7.074753 avg, 0.000002 rate, 7.312855 seconds, 13632 images
214: 6.356527, 7.002930 avg, 0.000002 rate, 7.144639 seconds, 13696 images
215: 6.127997, 6.915437 avg, 0.000002 rate, 7.109608 seconds, 13760 images
216: 6.502177, 6.874111 avg, 0.000002 rate, 7.080896 seconds, 13824 images
217: 6.524694, 6.839169 avg, 0.000002 rate, 7.050978 seconds, 13888 images
218: 6.204557, 6.775708 avg, 0.000002 rate, 7.048318 seconds, 13952 images
219: 6.055994, 6.703736 avg, 0.000002 rate, 7.039416 seconds, 14016 images
220: 5.173795, 6.550742 avg, 0.000002 rate, 7.067553 seconds, 14080 images
221: 6.337317, 6.529399 avg, 0.000002 rate, 7.053146 seconds, 14144 images
222: 5.046285, 6.381088 avg, 0.000002 rate, 7.039094 seconds, 14208 images
223: 5.750412, 6.318020 avg, 0.000002 rate, 7.134843 seconds, 14272 images
224: 6.816268, 6.367845 avg, 0.000003 rate, 7.226036 seconds, 14336 images
225: 4.917144, 6.222775 avg, 0.000003 rate, 7.291150 seconds, 14400 images
226: 6.110604, 6.211558 avg, 0.000003 rate, 7.147602 seconds, 14464 images
227: 5.045889, 6.094991 avg, 0.000003 rate, 7.158455 seconds, 14528 images
228: 7.052726, 6.190765 avg, 0.000003 rate, 7.113078 seconds, 14592 images
229: 5.509659, 6.122654 avg, 0.000003 rate, 7.043152 seconds, 14656 images
230: 5.962036, 6.106593 avg, 0.000003 rate, 7.047422 seconds, 14720 images
231: 5.984354, 6.094369 avg, 0.000003 rate, 7.046849 seconds, 14784 images
232: 6.469483, 6.131880 avg, 0.000003 rate, 7.049067 seconds, 14848 images
233: 4.791055, 5.997798 avg, 0.000003 rate, 7.033749 seconds, 14912 images
234: 6.087549, 6.006773 avg, 0.000003 rate, 7.066347 seconds, 14976 images
235: 5.552434, 5.961339 avg, 0.000003 rate, 7.067430 seconds, 15040 images
236: 5.022028, 5.867408 avg, 0.000003 rate, 7.068134 seconds, 15104 images
237: 5.324673, 5.813134 avg, 0.000003 rate, 7.108274 seconds, 15168 images
238: 5.079941, 5.739815 avg, 0.000003 rate, 7.259303 seconds, 15232 images
239: 6.288241, 5.794657 avg, 0.000003 rate, 7.311739 seconds, 15296 images
240: 5.042606, 5.719452 avg, 0.000003 rate, 7.138046 seconds, 15360 images
241: 5.810985, 5.728605 avg, 0.000003 rate, 7.066580 seconds, 15424 images
242: 7.049354, 5.860680 avg, 0.000003 rate, 7.242132 seconds, 15488 images
243: 5.564643, 5.831077 avg, 0.000003 rate, 7.164757 seconds, 15552 images
244: 5.393430, 5.787312 avg, 0.000004 rate, 7.154773 seconds, 15616 images
245: 5.023588, 5.710939 avg, 0.000004 rate, 7.075754 seconds, 15680 images
246: 5.503936, 5.690239 avg, 0.000004 rate, 7.099021 seconds, 15744 images
247: 6.519745, 5.773190 avg, 0.000004 rate, 7.097288 seconds, 15808 images
248: 5.593369, 5.755208 avg, 0.000004 rate, 7.106436 seconds, 15872 images
249: 5.493949, 5.729082 avg, 0.000004 rate, 7.081651 seconds, 15936 images
250: 5.890809, 5.745255 avg, 0.000004 rate, 7.145888 seconds, 16000 images
251: 5.034379, 5.674167 avg, 0.000004 rate, 7.124361 seconds, 16064 images
252: 5.162694, 5.623020 avg, 0.000004 rate, 7.121860 seconds, 16128 images
253: 6.224606, 5.683178 avg, 0.000004 rate, 7.192673 seconds, 16192 images
254: 6.655127, 5.780373 avg, 0.000004 rate, 7.109195 seconds, 16256 images
255: 5.776553, 5.779991 avg, 0.000004 rate, 6.993697 seconds, 16320 images
256: 5.186929, 5.720685 avg, 0.000004 rate, 7.129215 seconds, 16384 images
257: 5.120628, 5.660679 avg, 0.000004 rate, 7.045721 seconds, 16448 images
258: 5.570912, 5.651703 avg, 0.000004 rate, 7.015358 seconds, 16512 images
259: 4.860618, 5.572594 avg, 0.000004 rate, 7.074117 seconds, 16576 images
260: 5.184743, 5.533809 avg, 0.000005 rate, 7.063666 seconds, 16640 images
261: 5.620641, 5.542492 avg, 0.000005 rate, 7.109686 seconds, 16704 images
262: 6.073820, 5.595625 avg, 0.000005 rate, 7.090215 seconds, 16768 images
263: 5.789806, 5.615043 avg, 0.000005 rate, 7.067156 seconds, 16832 images
264: 5.708097, 5.624349 avg, 0.000005 rate, 7.067851 seconds, 16896 images
265: 4.717265, 5.533640 avg, 0.000005 rate, 7.058620 seconds, 16960 images
266: 6.649226, 5.645199 avg, 0.000005 rate, 7.210558 seconds, 17024 images
267: 5.727255, 5.653404 avg, 0.000005 rate, 7.184600 seconds, 17088 images
268: 5.963900, 5.684454 avg, 0.000005 rate, 7.009101 seconds, 17152 images
269: 5.245808, 5.640589 avg, 0.000005 rate, 7.094185 seconds, 17216 images
270: 6.328351, 5.709365 avg, 0.000005 rate, 7.104652 seconds, 17280 images
271: 5.516815, 5.690110 avg, 0.000005 rate, 7.036780 seconds, 17344 images
272: 5.665758, 5.687675 avg, 0.000005 rate, 7.033769 seconds, 17408 images
273: 5.914394, 5.710347 avg, 0.000006 rate, 7.038528 seconds, 17472 images
274: 5.572577, 5.696570 avg, 0.000006 rate, 7.032575 seconds, 17536 images
275: 5.283128, 5.655226 avg, 0.000006 rate, 7.052721 seconds, 17600 images
276: 6.654270, 5.755130 avg, 0.000006 rate, 7.124153 seconds, 17664 images
277: 5.370787, 5.716696 avg, 0.000006 rate, 7.019749 seconds, 17728 images
278: 5.082850, 5.653311 avg, 0.000006 rate, 7.035759 seconds, 17792 images
279: 5.396602, 5.627640 avg, 0.000006 rate, 7.047385 seconds, 17856 images
280: 4.954307, 5.560307 avg, 0.000006 rate, 7.092141 seconds, 17920 images
281: 5.275952, 5.531871 avg, 0.000006 rate, 7.050750 seconds, 17984 images
282: 6.011703, 5.579854 avg, 0.000006 rate, 7.064510 seconds, 18048 images
283: 5.833726, 5.605242 avg, 0.000006 rate, 7.068427 seconds, 18112 images
284: 4.981883, 5.542906 avg, 0.000007 rate, 7.059561 seconds, 18176 images
285: 5.193098, 5.507925 avg, 0.000007 rate, 7.061316 seconds, 18240 images
286: 6.367797, 5.593912 avg, 0.000007 rate, 7.166216 seconds, 18304 images
287: 5.084045, 5.542925 avg, 0.000007 rate, 7.179814 seconds, 18368 images
288: 4.437529, 5.432385 avg, 0.000007 rate, 7.218218 seconds, 18432 images
289: 4.595522, 5.348699 avg, 0.000007 rate, 7.278486 seconds, 18496 images
290: 6.729023, 5.486732 avg, 0.000007 rate, 7.252880 seconds, 18560 images
291: 6.336903, 5.571749 avg, 0.000007 rate, 7.317301 seconds, 18624 images
292: 4.829624, 5.497536 avg, 0.000007 rate, 7.232840 seconds, 18688 images
293: 5.278732, 5.475656 avg, 0.000007 rate, 7.345465 seconds, 18752 images
294: 4.885005, 5.416591 avg, 0.000007 rate, 7.236816 seconds, 18816 images
295: 4.956266, 5.370558 avg, 0.000008 rate, 7.151908 seconds, 18880 images
296: 4.634122, 5.296915 avg, 0.000008 rate, 7.203408 seconds, 18944 images
297: 4.919678, 5.259191 avg, 0.000008 rate, 7.150242 seconds, 19008 images
298: 5.967870, 5.330059 avg, 0.000008 rate, 7.100625 seconds, 19072 images
299: 5.832334, 5.380287 avg, 0.000008 rate, 7.196301 seconds, 19136 images
300: 5.457717, 5.388030 avg, 0.000008 rate, 7.190948 seconds, 19200 images
301: 5.707579, 5.419984 avg, 0.000008 rate, 6.985760 seconds, 19264 images
302: 6.103230, 5.488309 avg, 0.000008 rate, 7.171065 seconds, 19328 images
303: 4.703661, 5.409844 avg, 0.000008 rate, 7.172273 seconds, 19392 images
304: 5.551875, 5.424047 avg, 0.000009 rate, 7.123027 seconds, 19456 images
305: 5.450618, 5.426704 avg, 0.000009 rate, 7.094426 seconds, 19520 images
306: 6.018223, 5.485856 avg, 0.000009 rate, 7.179745 seconds, 19584 images
307: 5.212035, 5.458474 avg, 0.000009 rate, 7.243823 seconds, 19648 images
308: 4.951763, 5.407803 avg, 0.000009 rate, 7.112066 seconds, 19712 images
309: 5.161816, 5.383204 avg, 0.000009 rate, 7.193003 seconds, 19776 images
310: 5.698337, 5.414718 avg, 0.000009 rate, 7.223068 seconds, 19840 images
311: 4.723300, 5.345576 avg, 0.000009 rate, 7.227787 seconds, 19904 images
