Region 94 Avg IOU: 0.103965, Class: 0.083264, Obj: 0.654601, No Obj: 0.603613, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.075658, Class: 0.436027, Obj: 0.353083, No Obj: 0.495775, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.082269, Class: 0.325715, Obj: 0.551764, No Obj: 0.489471, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.245386, Class: 0.428653, Obj: 0.865481, No Obj: 0.601783, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.112390, Class: 0.417165, Obj: 0.506166, No Obj: 0.497801, .5R: 0.000000, .75R: 0.000000,  count: 17
Region 82 Avg IOU: 0.153614, Class: 0.265403, Obj: 0.850196, No Obj: 0.490699, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.319936, Class: 0.149717, Obj: 0.798280, No Obj: 0.605339, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.115484, Class: 0.488767, Obj: 0.431616, No Obj: 0.497394, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.012250, Class: 0.888556, Obj: 0.933517, No Obj: 0.603726, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.265630, Class: 0.418159, Obj: 0.706150, No Obj: 0.497858, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.112037, Class: 0.520150, Obj: 0.943441, No Obj: 0.490957, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.280736, Class: 0.418290, Obj: 0.729219, No Obj: 0.603201, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.162342, Class: 0.390300, Obj: 0.512911, No Obj: 0.500199, .5R: 0.000000, .75R: 0.000000,  count: 14
Region 106 Avg IOU: 0.157596, Class: 0.263657, Obj: 0.173509, No Obj: 0.496959, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.177156, Class: 0.375024, Obj: 0.757207, No Obj: 0.602697, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.114088, Class: 0.410672, Obj: 0.534040, No Obj: 0.497794, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.203342, Class: 0.202274, Obj: 0.757193, No Obj: 0.488248, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.156491, Class: 0.604821, Obj: 0.761801, No Obj: 0.603982, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.201134, Class: 0.402298, Obj: 0.518645, No Obj: 0.496023, .5R: 0.000000, .75R: 0.000000,  count: 15
Region 82 Avg IOU: 0.014288, Class: 0.654906, Obj: 0.867406, No Obj: 0.490203, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.179004, Class: 0.338701, Obj: 0.615686, No Obj: 0.602911, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.064883, Class: 0.284328, Obj: 0.566468, No Obj: 0.497082, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 94 Avg IOU: 0.057862, Class: 0.068895, Obj: 0.853500, No Obj: 0.602514, .5R: 0.000000, .75R: 0.000000,  count: 1
